Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alex,1/1/24 20:00,0:22:00,,The Office (U.S.): Season 1: Pilot,,TV,0:22:00,0:22:00,US
Alex,1/2/24 20:00,0:21:00,,The Office (U.S.): Season 1: Diversity Day,,TV,0:21:00,0:21:00,US
Alex,1/3/24 20:00,0:44:00,,Star Trek: Deep Space Nine: Season 1: Emissary,,TV,0:44:00,0:44:00,US
Alex,1/4/24 20:00,0:22:00,,Archer: Season 1: Mole Hunt,,TV,0:22:00,0:22:00,US
Alex,1/5/24 20:00,0:45:00,,Star Trek: Deep Space Nine: Season 1: Past Prologue,,TV,0:45:00,0:45:00,US
Blair,1/1/24 20:00,0:44:00,,Star Trek: Deep Space Nine: Season 1: Emissary,,TV,0:44:00,0:44:00,US
Blair,1/2/24 20:00,0:45:00,,Star Trek: Deep Space Nine: Season 1: Past Prologue,,TV,0:45:00,0:45:00,US
Blair,1/3/24 20:00,0:22:00,,Archer: Season 1: Mole Hunt,,TV,0:22:00,0:22:00,US
Blair,1/4/24 20:00,0:21:00,,The Office (U.S.): Season 1: Diversity Day,,TV,0:21:00,0:21:00,US
Blair,1/5/24 20:00,0:22:00,,The Office (U.S.): Season 1: Pilot,,TV,0:22:00,0:22:00,US

